frase,situacao
"tenho cansaço ao subir muitos lances de escada sou sedentário sem dor no peito",baixo risco
"sinto coração acelerado após exercício intenso sou iniciante na academia",baixo risco
"tenho leve dor nas costas que às vezes vai para o peito e melhora com antiinflamatório",baixo risco
"sinto palpitações ocasionais após bebida energética que somem rapidamente",baixo risco
"tenho leve pressão no peito ao subir escadas que desaparece logo ao parar",baixo risco
"sinto o coração pular uma batida às vezes mas sem tontura ou falta de ar",baixo risco
"tenho leve tontura ao me levantar rápido da cadeira que passa em segundos",baixo risco
"sinto leve desconforto no peito em situações de estresse que melhora sozinho",baixo risco
"tenho pressão levemente elevada controlada com medicação sem sintomas ativos",baixo risco
"sinto cansaço leve após corrida longa mas sou atleta e é algo esperado",baixo risco
"tenho coração acelerado antes de apresentações importantes mas é ansiedade",baixo risco
"sinto leve falta de ar ao correr rápido mas sou iniciante e para ao descansar",baixo risco
"tenho leve dor no peito quando durmo de lado que desaparece ao mudar de posição",baixo risco
"sinto azia com leve desconforto no peito após comer pizza que melhora com antiácido",baixo risco
"tenho palpitações leves após situação de estresse intenso que passam sozinhas",baixo risco
"sinto cansaço muscular nos braços após academia sem dor no peito ou falta de ar",baixo risco
"tenho leve pressão na cabeça e no peito após dormir mal que melhora com café",baixo risco
"sinto o coração acelerar ao assistir filme de terror mas volta ao normal rápido",baixo risco
"tenho histórico familiar de doença cardíaca mas sem sintomas ativos no momento",baixo risco
"sinto leve desconforto ao respirar fundo em dia frio mas sem outros sintomas",baixo risco
"tenho leve inchaço nos tornozelos no fim do dia que some após elevar os pés",baixo risco
"sinto cansaço leve e falta de motivação mas exames cardíacos recentes estão normais",baixo risco
"tenho coração acelerado após susto mas voltou ao normal em minutos",baixo risco
"sinto leve formigamento nas mãos ao digitar muito que melhora com pausa",baixo risco
"tenho pressão arterial normal mas vim verificar pois meu pai teve infarto",baixo risco
"sinto leve dor muscular no peito após treino de musculação que piora ao palpar",baixo risco
"tenho palpitações noturnas ocasionais mas o holter recente não mostrou alterações",baixo risco
"sinto leve tonteira ao mudar de posição rapidamente mas passa em segundos",baixo risco
"tenho coração acelerado após tomar remédio para gripe mas o médico disse que é normal",baixo risco
"sinto leve cansaço após caminhada longa sem dor no peito ou falta de ar intensa",baixo risco
"tenho pressão levemente alta somente em situações de estresse sem outros sintomas",baixo risco
"sinto leve pressão no peito ao carregar peso mas passa ao pousar o objeto",baixo risco
"tenho palpitações leves após consumir chocolate amargo que passam rapidamente",baixo risco
"sinto leve desconforto no peito ao rir muito ou tossir que passa sozinho",baixo risco
"tenho histórico de arritmia benigna controlada sem episódios ativos há seis meses",baixo risco
"sinto leve falta de ar em ambientes muito quentes que melhora ao sair do local",baixo risco
"tenho cansaço leve e dor nas costas por trabalhar sentado o dia inteiro",baixo risco
"sinto coração acelerado ao acordar de pesadelo mas volta ao normal rápido",baixo risco
"tenho leve aperto no peito ao subir ladeira íngreme que desaparece ao parar",baixo risco
"sinto palpitações leves ao deitar que somem quando mudo de posição",baixo risco
"tenho leve tontura após ficar de pé por muito tempo em dia muito quente",baixo risco
"sinto desconforto leve no peito após engolir comida muito quente que passa rápido",baixo risco
